Harvestarea,UAF ID,Date,Season,Julianday,HistoricalPSP,Depth,Latitude,Longitude,Cysts
Biorka,18BIO03,6/2/18,Spring,2018153,Low,43.4,56.830483,-135.440467,0
Biorka,18BIO02,6/2/18,Spring,2018153,Low,47.9,56.850017,-135.490217,1
Biorka,18BIO04,6/2/18,Spring,2018153,Low,37.2,56.818867,-135.449933,8
Biorka,18BIO05,9/3/18,Summer,2018246,Low,35,56.817422,-135.448463,7
Biorka,18BIO01,9/23/18,Summer,2018266,Low,36,56.830617,-135.439633,10
Blanquizal Island,18BLA03,6/30/18,Summer,2018181,Medium,53,55.604683,-133.351533,9
Blanquizal Island,18BLA02,6/30/18,Summer,2018181,Medium,57.6,55.604,-133.346633,11
Blanquizal Island,18BLA01,6/30/18,Summer,2018181,Medium,62,55.599867,-133.339583,18
Blanquizal island,18BIS10,11/3/18,Fall,2018307,Medium,,55.599583,-133.339583,53
Bucareli Bay,18BBA01,1/20/18,Winter,2018020,Medium,56,55.474533,-133.31905,12
Bucareli Bay,18BBA08,8/22/18,Summer,2018234,Medium,60.6,55.4579,-133.355883,42
Bucareli Bay,18BBA07,8/22/18,Summer,2018234,Medium,60.7,55.458867,-133.35515,45
Bucareli Bay,18BBA06,8/22/18,Summer,2018234,Medium,55.8,55.45945,-133.354533,92
Cat & Dog Island,18CDI05,9/6/18,Summer,2018249,Medium,76.4,54.969617,-131.241933,28
Cat & Dog Island,18CDI06,9/6/18,Summer,2018249,Medium,61,54.969017,-131.24155,45
Cat & Dog Island,18CDI04,9/6/18,Summer,2018249,Medium,47.6,54.96925,-131.24315,53
Cat & Dog Island,18CDI07,9/6/18,Summer,2018249,Medium,41.5,55.103333,-131.186533,145
Cat & Dog Island,18CDI12,9/8/18,Summer,2018251,Medium,50.1,54.983883,-131.334767,18
Cat & Dog Island,18CDI11,9/8/18,Summer,2018251,Medium,54.6,54.984067,-131.334483,23
Cat & Dog Island,18CDI10,9/8/18,Summer,2018251,Medium,53,54.984067,-131.334867,150
Cat & Dog Island,18CDI13,10/20/18,Fall,2018293,Medium,,55.092724,-131.178775,67
Cat & Dog Island,18CDI14,10/27/18,Fall,2018300,Medium,,55.0926,-131.17899,55
Cat & Dog Island,18CDI15,11/10/18,Fall,2018314,Medium,,55.08951,131.177785,67
Cat & Dog Island,19CDI16,1/12/19,Winter,2019012,Medium,,55.092626,-131.178751,27
Cat & Dog Island,19CDI17,1/20/19,Winter,2019020,Medium,,55.92492,131.901,27
Cat & Dog Island,18CDI01,6/16/18,Spring,2018167,Medium,26.2,55.049245,-131.188023,3
Cat & Dog Island,18CDI03,6/16/18,Spring,2018167,Medium,37.7,55.089724,-131.177932,7
Cat & Dog Island,18CDI02,6/16/18,Spring,2018167,Medium,31.1,55.055966,-131.1906,12
Cleveland Peninsula,18CPE01,3/17/18,Spring,2018076,Low,30,55.544459,-132.095357,3
Cleveland Peninsula,18CPE06,9/12/18,Summer,2018255,Low,,55.578633,-132.1661,0
Cleveland Peninsula,18CPE07,9/12/18,Summer,2018255,Low,,55.578583,-132.1662,7
Cleveland Peninsula,18CPE05,9/12/18,Summer,2018255,Low,,55.578283,-132.165817,13
Cone Island North,18CIN01,1/27/18,Winter,2018027,High,64.2,55.447783,-133.649767,3
Cone Island North,18CIN02,5/19/18,Spring,2018139,High,33,55.443633,-133.61725,0
Cone Island North,18CIN03,6/23/18,Spring,2018174,High,71.8,55.440283,-133.63635,0
Cone Island North,18CIN04,6/23/18,Spring,2018174,High,56.4,55.447233,-133.652117,0
Cone Island North,18CIN05,6/23/18,Spring,2018174,High,45.1,55.44915,-133.650167,0
Cone Island North,18CIN06,8/19/18,Summer,2018231,High,69.1,55.4428,-133.624317,3
Cone Island North,18CIN08,8/19/18,Summer,2018231,High,67.6,55.444383,-133.616317,3
Cone Island North,18CIN07,8/19/18,Summer,2018231,High,63,55.443983,-133.619767,10
Cone Island North,18CIN09,8/22/18,Summer,2018234,High,53.5,55.448983,-133.649383,0
Cone Island North,18CIN10,8/22/18,Summer,2018234,High,52.5,55.4486,-133.650933,0
Cone Island North,18CIN11,8/22/18,Summer,2018234,High,58.5,55.44815,-133.652367,0
Cone Island North,18CIN12,11/10/18,Fall,2018314,High,,55.433993,-133.634983,7
Cone Island North,19CIN13,2/17/19,Winter,2019048,High,,55.439817,-133.634817,2
Cone Island South,18CIS01,6/23/18,Spring,2018174,Medium,52.5,55.43915,-133.564583,0
Cone Island South,18CIS03,6/23/18,Spring,2018174,Medium,67,55.443567,-133.583567,1
Cone Island South,18CIS02,6/23/18,Spring,2018174,Medium,59,55.442533,-133.5744,2
Cone Island South,18CIS07,8/19/18,Summer,2018231,Medium,66.8,55.440717,-133.57265,2
Cone Island South,18CIS08,8/19/18,Summer,2018231,Medium,56.7,55.439783,-133.569417,7
Cone Island South,18CIS09,8/19/18,Summer,2018231,Medium,50.6,55.437967,-133.567733,10
Cone Island South,18CIS05,8/19/18,Summer,2018231,Medium,61.4,55.438667,-133.608067,22
Cone Island South,18CIS04,8/19/18,Summer,2018231,Medium,74.6,55.4369,-133.611933,62
Cone Island South,18CIS06,8/19/18,Summer,2018231,Medium,81.2,55.435283,-133.61335,62
Cone Island South,18CIS10,10/20/18,Fall,2018293,Medium,,55.438883,-133.56555,16
Cone Island South,18CIS11,10/27/18,Fall,2018300,Medium,,55.438933,-133.434917,5
Cone Island South,18CIS12,11/3/18,Fall,2018307,Medium,,55.446583,-133.59795,6
Davidson Inlet,18DIN01,2/3/18,Winter,2018034,None,57.7,55.910944,-133.616398,16
Davidson Inlet,18DIN02,3/3/18,Spring,2018062,None,58.7,55.910556,-133.615791,27
East San Fernando Island,18ESF03,6/9/18,Spring,2018160,Medium,74.9,55.536033,-133.281467,1
East San Fernando Island,18ESF01,6/9/18,Spring,2018160,Medium,71.6,55.537483,-133.277433,10
East San Fernando Island,18ESF02,6/9/18,Spring,2018160,Medium,76.9,55.537117,-133.279733,21
Elovoi,18ELO03,6/2/18,Spring,2018153,Low,23.1,56.805083,-135.404733,0
Elovoi,18ELO01,6/2/18,Spring,2018153,Low,23.2,56.812483,-135.4195,3
Elovoi,18ELO02,6/2/18,Spring,2018153,Low,22.8,56.813317,-135.4195,6
Elovoi,18ELO04,9/3/18,Summer,2018246,Low,35,56.811913,-135.419745,5
Foggy Bay,18FBA01,6/16/18,Spring,2018167,Low,58.1,54.9594,-130.95893,5
Foggy Bay,18FBA03,6/16/18,Spring,2018167,Low,41,54.961324,-130.962515,5
Foggy Bay,18FBA02,6/16/18,Spring,2018167,Low,40.6,54.957227,-130.95533,6
Foggy Bay,18FBA10,9/5/18,Summer,2018248,Low,30.5,54.968417,-130.98945,628
Foggy Bay,18FBA11,9/5/18,Summer,2018248,Low,22.4,54.9683,-130.989433,1093
Foggy Bay,18FBA12,9/5/18,Summer,2018248,Low,34.4,54.969033,-130.988533,1515
Foggy Bay,18FBA07,9/5/18,Summer,2018248,Low,38.8,54.953967,-130.950983,1810
Foggy Bay,18FBA08,9/5/18,Summer,2018248,Low,31.7,54.953383,-130.9506,2280
Foggy Bay,18FBA09,9/5/18,Summer,2018248,Low,75.6,54.954117,-130.95175,3105
Kaigani Strait,18KST01,1/20/18,Winter,2018020,Medium,57.4,54.81801,-132.717267,16
Kaigani Strait,18KST05,8/23/18,Summer,2018235,Medium,47.7,54.85375,-132.81755,12
Kaigani Strait,18KST10,8/23/18,Summer,2018235,Medium,54.3,54.9249,-132.907017,12
Kaigani Strait,18KST07,8/23/18,Summer,2018235,Medium,71.9,54.852617,-132.818483,15
Kaigani Strait,18KST06,8/23/18,Summer,2018235,Medium,69.8,54.853133,-132.818117,35
Kaigani Strait,18KST08,8/23/18,Summer,2018235,Medium,65.3,54.923867,-132.908017,37
Kaigani Strait,18KST09,8/23/18,Summer,2018235,Medium,55.3,54.92425,-132.90765,50
LIttle Steamboat Bay,18LSB01,1/27/18,Winter,2018027,High,60,55.552917,-133.651017,9
Lower Cordova Bay,18LCB01,6/9/18,Spring,2018160,Medium,48.1,54.910267,-132.457633,0
Lower Cordova Bay,18LCB02,6/9/18,Spring,2018160,Medium,57.4,54.895417,-132.509483,0
Lower Cordova Bay,18LCB03,6/9/18,Spring,2018160,Medium,62.2,54.900033,-132.5213,0
Maurelle Islands,18MIS03,8/24/18,Summer,2018236,High,61.4,55.625033,-133.405333,62
Maurelle Islands,18MIS02,8/24/18,Summer,2018236,High,54.3,55.625967,-133.40535,67
Maurelle Islands,18MIS01,8/24/18,Summer,2018236,High,66.2,55.627,-133.405117,102
Middle Gravina Island,18MGI01,1/13/18,Winter,2018013,High,20,55.27075,-131.848,26
Middle Gravina Island,18MGI02,2/18/18,Winter,2018049,High,50,55.304433,-131.867112,16
Middle Gravina Island,18MGI03,2/24/18,Spring,2018055,High,60,55.34149,-131.873418,8
Middle Gravina Island,18MGI04,3/3/18,Spring,2018062,High,55,55.304315,-131.867342,3
Middle Gravina Island,18MGI05,3/11/18,Spring,2018070,High,50,55.304774,-131.867076,7
Middle Gravina Island,18MGI06,3/17/18,Spring,2018076,High,70,55.321941,-131.878502,4
Middle Gravina Island,18MGI07,3/25/18,Spring,2018084,High,40,55.304736,-131.867076,3
Middle Gravina Island,18MGI08,3/31/18,Spring,2018090,High,35,55.304676,-131.86715,8
Middle Gravina Island,18MGI09,5/13/18,Spring,2018133,High,30,55.304525,-131.866865,0
Middle Gravina Island,18MGI10,5/19/18,Spring,2018139,High,70,55.304191,-131.867547,0
Middle Gravina Island,18MGI17,9/9/18,Summer,2018252,High,61.9,55.18268,-131.52045,60
Middle Gravina Island,18MGI18,9/9/18,Summer,2018252,High,59.2,55.18252,-131.52027,78
Middle Gravina Island,18MGI13,9/9/18,Summer,2018252,High,39,55.16292,-131.50966,143
Middle Gravina Island,18MGI12,9/9/18,Summer,2018252,High,45.6,55.16191,-131.50891,213
Middle Gravina Island,18MGI19,9/9/18,Summer,2018252,High,83.6,55.18257,-131.52048,260
Middle Gravina Island,18MGI11,9/9/18,Summer,2018252,High,43.2,55.16199,-131.50889,358
Middle Gravina Island,18MGI20,10/20/18,Fall,2018293,High,,55.270947,-131.849253,133
Middle Gravina Island,19MGI21,1/12/19,Winter,2019012,High,,53.304654,-131.866614,48
Middle Gravina Island,19MGI22,2/23/19,Winter,2019054,High,,53.304654,-131.866614,92
Middle Gravina Island,19MGI23/24y,3/19/19,Winter,2019078,High,,53.304654,-131.866614,77
Middle Gravina Island,19MGI23/24x,3/19/19,Winter,2019078,High,,53.304654,-131.866614,87
Northwest Dall Island,18NWD01,6/9/18,Spring,2018160,Medium,71.6,55.22455,-133.25035,0
Northwest Dall Island,18NWD02,6/9/18,Spring,2018160,Medium,66.3,55.225767,-133.250517,0
Northwest Dall Island,18NWD03,6/9/18,Spring,2018160,Medium,75.7,55.228367,-133.249,0
Palisades Island,18PAL10,10/20/18,Fall,2018293,Medium,,55.587583,-133.3091,7
Palisades Island,19PIS11,1/20/19,Winter,2019020,Medium,,55.55745,-133.6884,23
Palisades Island,18PIS01,6/30/18,Summer,2018181,Medium,43.9,55.570983,-133.29055,1
Palisades Island,18PIS03,6/30/18,Summer,2018181,Medium,41.4,55.5873,-133.309183,8
Palisades Island,18PIS02,6/30/18,Summer,2018181,Medium,42.8,55.583983,-133.29665,12
Percy Islands,18PER03,9/11/18,Summer,2018254,High,43,54.967933,-131.5905,440
Percy Islands,18PER04,9/11/18,Summer,2018254,High,54.4,54.968017,-131.590333,618
Percy Islands,18PER05,9/11/18,Summer,2018254,High,54,54.9681,-131.590333,718
Percy Islands,18PER07,9/11/18,Summer,2018254,High,59.6,54.940417,-131.569167,3788
Percy Islands,18PER08,9/11/18,Summer,2018254,High,59.2,54.940333,-131.56915,5045
Percy Islands,18PER06,9/11/18,Summer,2018254,High,60.1,54.940367,-131.568967,7773
Port Alice Cone Bay,19PAL07,3/9/19,Winter,2019068,High,,55.826817,-133.61625,6
Port Alice Cone Bay,18PAL01,7/14/18,Summer,2018195,High,40.5,55.83895,-133.56755,18
Port Alice Cone Bay,18PAL02,7/14/18,Summer,2018195,High,39,55.838133,-133.57785,26
Port Alice Cone Bay,18PAL03,7/14/18,Summer,2018195,High,54.5,55.83615,-133.589033,31
Portillo Channel,18PCH01,2/3/18,Winter,2018034,Medium,70.2,55.479341,-133.418052,7
Portillo Channel,18PCH02,8/22/18,Summer,2018234,Medium,48.2,55.4501,-133.40395,22
Portillo Channel,18PCH04,8/22/18,Summer,2018234,Medium,48.1,55.45285,-133.406483,22
Portillo Channel,18PCH03,8/22/18,Summer,2018234,Medium,54.1,55.451217,-133.406533,25
Portillo Channel,18PCH06,8/24/18,Summer,2018236,Medium,59.5,55.479617,-133.426417,17
Portillo Channel,18PCH05,8/24/18,Summer,2018236,Medium,55.3,55.478233,-133.426567,25
Portillo Channel,18PCH07,8/24/18,Summer,2018236,Medium,59.7,55.481,-133.4269,32
Portillo Channel,18PCH09,8/24/18,Summer,2018236,Medium,53.7,55.509283,-133.43035,37
Portillo Channel,18PCH08,8/24/18,Summer,2018236,Medium,71.4,55.507167,-133.43205,50
Portillo Channel,18PCH10,8/24/18,Summer,2018236,Medium,49.8,55.509667,-133.431883,75
Southern Gravina,18SGI03,9/10/18,Summer,2018253,High,70.2,56.3815,-131.7706,268
Southern Gravina,18SGI02,9/10/18,Summer,2018253,High,62.8,56.381333,-131.770467,378
Southern Gravina,18SGI06,9/10/18,Summer,2018253,High,71.6,56.424833,-131.7805,645
Southern Gravina,18SGI05,9/10/18,Summer,2018253,High,65.3,56.4205,-131.780517,955
Southern Gravina,18SGI01,9/10/18,Summer,2018253,High,85,55.139183,-131.769367,1058
Southern Gravina,18SGI04,9/10/18,Summer,2018253,High,63,56.423333,-131.7805,1295
St. Nicholas Channel,18SNC01,6/23/18,Spring,2018174,Medium,57.9,55.505967,-133.584133,3
St. Nicholas Channel,18SNC02,6/23/18,Spring,2018174,Medium,55.2,55.531067,-133.52665,3
St. Nicholas Channel,18SNC03,6/23/18,Spring,2018174,Medium,62.8,55.528067,-133.535117,12
St. Nicholas Channel,18SNC04,8/22/18,Summer,2018234,Medium,56.9,55.530967,-133.586767,32
St. Nicholas Channel,18SNC06,8/22/18,Summer,2018234,Medium,57.1,55.53275,-133.585617,32
St. Nicholas Channel,18SNC05,8/22/18,Summer,2018234,Medium,48.1,55.531883,-133.5863,62
St. Nicholas Channel,18SNC13,10/20/18,Fall,2018293,Medium,,55.562317,-133.438567,28
Taigud,18TAI02,6/2/18,Spring,2018153,Low,41,56.843983,-135.38965,1
Taigud,18TAI03,6/2/18,Spring,2018153,Low,26.5,56.912867,-135.3985,1
Taigud,18TAI01,6/2/18,Spring,2018153,Low,37.7,56.837917,-135.4142,3
Taigud,18TAI04,9/3/18,Summer,2018246,Low,35,56.84398,-135.3904,2
Tlevak Strait,18TST03,8/23/18,Summer,2018235,Low,71,55.218667,-133.103783,7
Tlevak Strait,18TST01,8/23/18,Summer,2018235,Low,63.3,55.215933,-133.1067,10
Tlevak Strait,18TST02,8/23/18,Summer,2018235,Low,67.2,55.217367,-133.10495,10
Ulitka Bay,18UBA02,7/14/18,Summer,2018195,Medium,75,55.557717,-133.689383,6
Ulitka Bay,18UBA01,7/14/18,Summer,2018195,Medium,59.5,55.557783,-133.72055,10
Ulitka Bay,18UBA03,7/14/18,Summer,2018195,Medium,62,55.557183,-140.355517,16
Ulitka Bay,18UBA05,8/20/18,Summer,2018232,Medium,50.9,55.555583,-133.720467,5
Ulitka Bay,18UBA06,8/20/18,Summer,2018232,Medium,54.8,55.556917,-133.722083,22
Ulitka Bay,18UBA04,8/20/18,Summer,2018232,Medium,54.9,55.556433,-133.721583,35
Ulitka Bay,18UBA07,11/10/18,Fall,2018314,Medium,,55.557267,-133.686483,8
Ulitka Bay,19UBA08,1/20/19,Winter,2019020,Medium,,55.574883,-133.367083,5
Ulitka Bay,19UBA09,2/17/19,Winter,2019048,Medium,,55.556867,-133.685533,1
Vallenar Bay,18VBA01,1/13/18,Winter,2018013,High,30,55.417217,-131.853367,13
Vallenar Bay,18VBA02,1/27/18,Winter,2018027,High,27,55.38206,-131.88147,13
Vallenar Bay,18VBA03,2/10/18,Winter,2018041,High,70,55.405115,-131.852545,18
Vallenar Bay,18VBA04,2/18/18,Winter,2018049,High,60,55.405002,-131.852272,12
Vallenar Bay,18VBA05,9/7/18,Summer,2018250,High,51.8,55.383433,-131.83775,163
Vallenar Bay,18VBA06,9/7/18,Summer,2018250,High,55.1,55.383283,-131.837833,175
Vallenar Bay,18VBA07,9/7/18,Summer,2018250,High,50.4,55.383567,-131.8377,175
Warren Island Kosciusko,19WIK04,3/9/19,Winter,2019068,Medium,,55.896483,-133.842017,2
Warren Island Kosciusko,18WIK02,7/14/18,Summer,2018195,Medium,51.8,55.8965,-133.841217,1
Warren Island Kosciusko,18WIK03,7/14/18,Summer,2018195,Medium,54.5,55.892067,-133.83895,3
Warren Island Kosciusko,18WIK01,7/14/18,Summer,2018195,Medium,46.8,55.89815,-133.841867,6